1999, B466,  Phys.Lett., Wang & Abdalla,  Holography in (2+1)-dimensional cosmological models
2000, B584,  Nucl.Phys., Buchbinder & Gitman & Krykhtin & Pershin,  Equations of Motion for Massive Spin 2 Field Coupled to Gravity
2000, A272,  Phys.Lett., Kim & Santana & Khanna,  Generalized Invariants and Quantum Evolution of Open Fermionic System
2000, B576,  Nucl.Phys., Akemann & Damgaard,  On Finite-Volume Gauge Theory Partition Functions
1999, A14,  Mod.Phys.Lett., Nishimura & Tanii,  Local Symmetries in the AdS_7/CFT_6 Correspondence
2000, B575,  Nucl.Phys., Dhar & Mandal & Wadia & Yogendran,  D1/D5 System with B-field, Noncommutative Geometry and the CFT of the  Higgs Branch
2000, D61,  Phys.Rev., Gusev & Zelnikov,  Two-dimensional effective action for matter fields coupled to the  dilaton
2000, B476,  Phys.Lett., Sakamoto & Yamashita,  A Simple Proof of the Non-Renormalization of the Chern-Simons Coupling
2000, B492,  Phys.Lett., Barnich & Henneaux & Hurth & Skenderis,  Cohomological analysis of gauged-fixed gauge theories
2000, D62,  Phys.Rev., Luty & Sundrum,  Radius Stabilization and Anomaly-Mediated Supersymmetry Breaking
2000, A15,  Mod.Phys.Lett., Clark & Love,  Twisted Boundary Conditions and Matching to the Effective Four  Dimensional Theory
2000, D61,  Phys.Rev., Park & Yee,  Comments on "Entropy of 2D Black Holes from Counting Microstates"
2000, A33,  J.Phys., Suzuki,  Functional Relations in Stokes Multipliers and Solvable Models related  to U_q(A^{(1)}_n)
2000, B572,  Nucl.Phys., Dasgupta & Jr,  Non-BPS States and Heterotic - Type I' Duality
2000, B477,  Phys.Lett., Binetruy & Deffayet & Ellwanger & Langlois,  Brane cosmological evolution in a bulk with cosmological constant
2000, B577,  Nucl.Phys., Khorrami & Alimohammadi,  Large-N limit of the generalized 2D Yang-Mills theory on cylinder
2000, D61,  Phys.Rev., Cadoni & Mignemi,  Reply Comment on "Entropy of 2D black holes from counting microstates"
2000, B573,  Nucl.Phys., Bianchi & Morales & Pradisi,  Discrete torsion in non-geometric orbifolds and their open-string  descendants
2000, D62,  Phys.Rev., Gorsky & Selivanov,  On heavy states in supersymmetric gluodynamics at large N
1999, B471,  Phys.Lett., Boschi-Filho & Braga,  Remark on the variational principle in the AdS/CFT correspondence for  the scalar field
2000, A15,  Int.J.Mod.Phys., Bertolini & Trigiante,  Regular R-R and NS-NS BPS black holes
2000, A15,  Int.J.Mod.Phys., Magpantay,  The Parisi-Sourlas Mechanism in Yang-Mills Theory?
2000, D61,  Phys.Rev., Youm,  Black Hole Thermodynamics and Two-Dimensional Dilaton Gravity Theory
2000, B574,  Nucl.Phys., Cvetic & Lu & Pope,  Four-dimensional N=4 SO(4) Gauged Supergravity from D=11
2000, A269,  Phys.Lett., Filho & Ricotta,  Morse potential energy spectra through the variational method and  supersymmetry
2000, D61,  Phys.Rev., Hirano,  Exact Renormalization Group and Loop Equation
2000, D61,  Phys.Rev., Kim,  Genuine Dyons in Born-Infeld Electrodynamics
2000, E62,  Phys.Rev., Aoki & Iso & Kawai & Kitazawa,  Scaling Behaviors of Branched Polymers
2000, B576,  Nucl.Phys., Chen & Itoyama & Matsuo & Murakami,  p-p' System with B-field, Branes at Angles and Noncommutative Geometry
2000, B584,  Nucl.Phys., Dubin,  Nonabelian Duality and Solvable Large N Lattice Systems
2000, B575,  Nucl.Phys., Houart & Lozano,  Type II Branes from Brane-Antibrane in M-theory
2000, D61,  Phys.Rev., Barreiro & Copeland & Nunes,  Quintessence arising from exponential potentials
1999, B468,  Phys.Lett., Contaldi & Bean & Magueijo,  Photographing the wave function of the Universe
1999, B470,  Phys.Lett., Gasperini,  On the response of gravitational antennas to dilatonic waves
2000, A15,  Int.J.Mod.Phys., Ghafoori-Tabrizi & Gousheh & Sepangi,  On signature transition in Robertson-Walker cosmologies
2000, D62,  Phys.Rev., Kiefer & Polarski & Starobinsky,  Entropy of gravitons produced in the early Universe
2000, D62,  Phys.Rev., Coccia & Fucito & Lobo & Salvino,  Scalar GW detection with a hollow spherical antenna
2000, D61,  Phys.Rev., Kanti & Winstanley,  Do stringy corrections stabilize coloured black holes?
2000, D62,  Phys.Rev., Shiromizu & Maeda & Sasaki,  The Einstein Equations on the 3-Brane World
2000, B479,  Phys.Lett., Dzhunushaliev & Kasper & Singleton,  Gravitational Flux Tubes
2000, D61,  Phys.Rev., Weinstein,  Quarks, Gluons and Frustrated Antiferromagnets
2000, B474,  Phys.Lett., Chiu,  A note on the solutions of the Ginsparg-Wilson relation
2000, D61,  Phys.Rev., Edwards & Heller & Kiskis & Narayanan,  Chiral Condensate in the Deconfined Phase of Quenched Gauge Theories
2000, D61,  Phys.Rev., Tsujikawa & Maeda & Torii,  Preheating of the nonminimally coupled inflaton field
2000, D61,  Phys.Rev., Davydychev,  Explicit results for all orders of the epsilon-expansion of certain  massive and massless diagrams
1999, B470,  Phys.Lett., Shovkovy & Wijewardhana,  On gap equations and color-flavor locking in cold dense QCD with three  massless flavors
2000, D62,  Phys.Rev., Chung & Freese,  Can Geodesics in Extra Dimensions Solve the Cosmological Horizon  Problem?
2000, B574,  Nucl.Phys., Kubo & Terao & Zoupanos,  Kaluza-Klein Thresholds and Regularization (In)dependence
2000, B474,  Phys.Lett., Chernodub,  Classical String Solutions in Effective Infrared Theory of SU(3)  Gluodynamics
1999, B471,  Phys.Lett., Wang & Heinz,  Nonperturbative calculation of the shear viscosity in hot phi**4 theory  in real time
2000, B473,  Phys.Lett., Grzadkowski & Gunion,  Kaluza-Klein Excitations and Electroweak Symmetry Breaking
2001, D63,  Phys.Rev., White,  The Triangle Anomaly in Triple-Regge Limits
2000, B475,  Phys.Lett., Shapiro & Sola,  On the scaling behavior of the cosmological constant and the possible  existence of new forces and new light degrees of freedom
2000, D62,  Phys.Rev., Cai & Gaillard,  Comment on ``Inflation and flat directions in modular invariant  superstring effective theories''
2000, D61,  Phys.Rev., Kaloper & Liddle,  Dynamics and perturbations in assisted chaotic inflation
2000, B474,  Phys.Lett., Joyce & Kainulainen & Prokopec,  Quantum Transport Equations for a Scalar Field
2000, D61,  Phys.Rev., Ibrahim & Nath,  Large CP Phases and the Cancellation Mechanism in EDMs in SUSY, String  and Brane Models
1999, A260,  Phys.Lett., Lin,  Scattering of relativistic particles by a Coulomb field in two  dimensions
2000, E61,  Phys.Rev., Jensen & Brevik,  Transition Radiation and the Origin of Sonoluminescence
1999, A32,  J.Phys., Mostafazadeh,  Perturbative Calculation of the Adiabatic Geometric Phase and Particle  in a Well with Moving Walls
2000, A268,  Phys.Lett., Barcelos-Neto & Constandache & Das,  Dispersionless Fermionic KdV
2000, A15,  Int.J.Mod.Phys., Furutsu & Kojima & Quano,  Form factors of the SU(2) invariant massive Thirring model with boundary  reflection
1999, B468,  Phys.Lett., Wang & Abdalla,  Entropy of extreme three-dimensional charged black holes
2000, B573,  Nucl.Phys., Chattaraputi & Emparan & Taormina,  Composite diholes and intersecting brane-antibrane configurations in  string/M-theory
1999, B470,  Phys.Lett., Kim & Kim & Oh,  Massless vs. Massive Hawking Radiation in AdS$_2$ Spacetime
2000, B574,  Nucl.Phys., Gukov,  Solitons, Superpotentials and Calibrations
1999, B450,  Phys.Lett., Zloshchastiev,  Nonminimal particle-like solutions in cubic scalar field theory
1999, G25,  J.Phys., Zloshchastiev,  Zero-brane approach to study of particle-like solitons in classical and  quantum Liouville field theory
2000, D62,  Phys.Rev., Fayyazuddin & Zabzine,  A note on bosonic open strings in constant B field
2000, B575,  Nucl.Phys., Dudas & Mourad,  String theory predictions for future accelerators
2000, B575,  Nucl.Phys., Kostov,  Exact Solution of the Six-Vertex Model on a Random Lattice
2000, B570,  Nucl.Phys., Abanov & Wiegmann,  Theta-terms in nonlinear sigma-models
2000, B474,  Phys.Lett., Watts,  Noncommutative String Theory, the R-Matrix, and Hopf Algebras
2000, B472,  Phys.Lett., Das & Dunne & Frenkel,  Large Gauge Ward Identity
2000, B575,  Nucl.Phys., Maillet & Terras,  On the quantum inverse scattering problem
2001, A34,  J.Phys., Gorsky,  Dualities in integrable systems and N=2 theories
2000, B572,  Nucl.Phys., Minasian & Tsimpis,  On the geometry of non-trivially embedded branes
1999, B471,  Phys.Lett., Ansoldi & Aurilia & Smailagic & Spallucci,  Dualization of Interacting Theories Including p=d-1 Limiting Cases
1999, A14,  Mod.Phys.Lett., Ikemori & Kitakado & Otsu & Sato,  Hopf Map and Quantization on Sphere
2000, A264,  Phys.Lett., Bohm & Kaldass & Wickramasekara & Kielanowski,  Semigroup Representations of the Poincare Group and Relativistic Gamow  Vectors
2000, D62,  Phys.Rev., Natsuume & Okamura,  Entropy for Asymptotically AdS_3 Black Holes
2000, D62,  Phys.Rev., Jack & Parsons,  O(d,d) invariance at two and three loops
2000, B472,  Phys.Lett., Tripathy & Schaposnik,  Monopoles in non-Abelian Einstein-Born-Infeld Theory
2000, B477,  Phys.Lett., Bose & Dadhich & Kar,  New classes of black hole spacetimes in 2+1 gravity
1999, D60,  Phys.Rev., Bose & Naing,  Quasilocal energy for rotating charged black hole solutions in general  relativity and string theory
2000, D61,  Phys.Rev., Jackiw & Pi,  Creation and evolution of magnetic helicity
2000, D62,  Phys.Rev., Bena,  The propagator for a general form field in $AdS_{d+1}$
2000, B477,  Phys.Lett., Sochichiu,  Compactified Quantum Fields. Is there Life Beyond the Cut-off Scale?
2000, D61,  Phys. Rev., Zaslavskii,  Two-dimensional dilaton gravity and spacetimes with finite curvature at  the horizon away from the Hawking temperature
2000, B572,  Nucl.Phys., Sierra,  Conformal Field Theory and the Exact Solution of the BCS Hamiltonian
2000, B572,  Nucl.Phys., Angelantonj & Antoniadis & D'Appollonio & Dudas & Sagnotti,  Type I vacua with brane supersymmetry breaking
2000, B575,  Nucl.Phys., Hull & Khuri,  Worldvolume Theories, Holography, Duality and Time
2000, D62,  Phys.Rev., Carroll & Hellerman & Trodden,  BPS Domain Wall Junctions in Infinitely Large Extra Dimensions
2000, A15,  Mod.Phys.Lett., Kim & Oh,  Noncommutative open strings from Dirac quantization
2000, A15,  Mod.Phys.Lett., Balachandran & Govindarajan & Ydri,  The Fermion Doubling Problem and Noncommutative Geometry
2000, D61,  Phys.Rev., Erickson & Semenoff & Szabo & Zarembo,  Static Potential in N=4 Supersymmetric Yang-Mills Theory
2000, D61,  Phys.Rev., Smailagic & Spallucci,  Duality of massive gauge invariant theories in arbitrary space-time  dimension
2000, B580,  Nucl.Phys., Navarro & Navarro-Salas & Navarro,  Holography, degenerate horizons and entropy
2000, B474,  Phys.Lett., Grigoriev & Damgaard,  Superfield BRST Charge and the Master Action
2000, B574,  Nucl.Phys., Klebanov & Nekrasov,  Gravity Duals of Fractional Branes and Logarithmic RG Flow
2001, B508,  Phys.Lett., Konishi & Takenaga,  Confinement, Chiral Symmetry Breaking and Faddeev-Niemi Decomposition in  QCD
2000, D61,  Phys.Rev., Banados & Chamblin & Gibbons,  Branes, AdS gravitons and Virasoro symmetry
2000, A15,  Int.J.Mod.Phys., Lunardi & Manzoni & Pimentel,  Gauged Thirring Model in the Heisenberg Picture
2000, B578,  Nucl.Phys., Bassi & LeClair,  The Exact S-Matrix for an osp(2|2) Disordered System
2001, D63,  Phys.Rev., Lahiri,  Renormalizability of the Dynamical Two-Form
2000, A15,  Int.J.Mod.Phys., Sardanashvily,  SUSY-Extended Field Theory
2000, D61,  Phys.Rev., Gaite,  Relative entropy for compact Riemann surfaces
2000, B574,  Nucl.Phys., Edelstein & Gomez-Reino & Marino & Mas,  N=2 supersymmetric gauge theories with massive hypermultiplets and the  Whitham hierarchy
2000, D61,  Phys.Rev., Park & Sin & Lee,  The cosmology with the Dp-brane gas
2000, D61,  Phys.Rev., Christiansen & Grandi & Schaposnik & Silva,  Non-BPS Dyons and Branes in the Dirac-Born-Infeld Theory
2000, C14,  Eur.Phys.J., Dmitrasinovic,  Composite antisymmetric-tensor Nambu-Goldstone bosons in a four-fermion  interaction model and the Higgs mechanism
2000, B583,  Nucl.Phys., Kinar & Schreiber & Sonnenschein & Weiss,  Quantum fluctuations of Wilson loops from string models
2000, D61,  Phys.Rev., Cornwall,  Center Vortices, Nexuses, and Fractional Topological Charge
2000, A33,  J.Phys., Visinescu,  Generalized Taub-NUT metrics and Killing-Yano tensors
2000, B472,  Phys.Lett., Broda & Bakalarska,  The partition function of a 3-dimensional topological scalar-vector  model
2000, B487,  Phys.Lett., Li & Zhang & Zhu,  Decomposition of SU(N) connection and Effective Theory of SU(N) QCD
2000, B578,  Nucl.Phys., Bastianelli & Frolov & Tseytlin,  Three-point correlators of stress tensors in maximally-supersymmetric  conformal theories in d=3 and d=6
2000, D61,  Phys.Rev., Constable & Myers & Tafjord,  The Noncommutative Bion Core
2000, B577,  Nucl.Phys., Becker & Becker,  Fivebrane Gravitational Anomalies
2000, D62,  Phys.Rev., Lee,  Canonical Quantization of Open String and Noncommutative Geometry
1998, B425,  Phys.Lett., Bizdadea & Saliu,  Irreducible Antifield Analysis of $p$-Form Gauge Theories
1999, B561,  Nucl.Phys., Arfaei & Kamani,  Mixed Branes Interaction in Compact Spacetime
2000, D62,  Phys.Rev., Brihaye & Hartmann & Kunz,  Gravitating monopole and black holes at intermediate Higgs masses
2000, B579,  Nucl.Phys., Aref'eva & Koshelev & Medvedev,  On Stable Sector in Supermembrane Matrix Model
2000, A15,  Mod.Phys.Lett., Loewe & Valenzuela,  Thermal Renormalons in Scalar Field Theory
2000, D62,  Phys.Rev., Nojiri & Odintsov,  Finite gravitational action for higher derivative and stringy gravities
2000, B574,  Nucl.Phys., Chu & Ho & Li,  Matrix Theory in a Constant C Field Background
2000, D62,  Phys.Rev., Abreu & Hott,  Duality in a fermion-like formulation for the electromagnetic field
2000, B471,  Phys.Lett., Wang & Abdalla,  Holography and the generalized second law of thermodynamics in  (2+1)-dimensional cosmology
2000, D62,  Phys.Rev., Rashkov & Viswanathan,  Correlation functions in the Coulomb branch of N=4 SYM from AdS/CFT  correspondence
2000, D61,  Phys.Rev., Johnson & Peet & Polchinski,  Gauge Theory and the Excision of Repulson Singularities
2000, A15,  Mod.Phys.Lett., Chaves & Morales,  Grand unification using a generalized Yang-Mills theory
2000, B480,  Phys.Lett., Lewis,  Logarithmic Operators in AdS_3/CFT_2
2000, B495,  Phys.Lett., Burgess & Myers & Quevedo,  A Naturally Small Cosmological Constant on the Brane?
2000, B473,  Phys.Lett., Mukohyama,  Brane-world solutions, standard cosmology, and dark radiation
1999, B461,  Phys.Lett., Zupnik,  Goldstone-type superfields and partial spontaneous breaking of D=3, N=2  supersymmetry
2000, A33,  J.Phys., Calixto,  Structure Constants for New Infinite-Dimensional Lie Algebras of  U(N+,N-) Tensor Operators and Applications
2000, D62,  Phys.Rev., Christiansen & Petkou & Neto & Vlachos,  On the thermodynamics of the 2+1 dimensional Gross-Neveu model with  complex chemical potential
2000, A268,  Phys.Lett., Bordag & Vassilevich,  Casimir force between Chern-Simons surfaces
2000, B476,  Phys.Lett., Chamseddine & Sabra,  D=7 SU(2) Gauged Supergravity From D=10 Supergravity
1999, A14,  Mod.Phys.Lett., Miyagi,  Yang-Mills instantons on 7-dimensional manifold of G_2 holonomy
2000, D61,  Phys.Rev., Lee & Yi,  Quantum Spectrum of Instanton Solitons in Five Dimensional  Noncommutative U(N) Theories
2000, B586,  Nucl.Phys., Harris & Wheater,  Peeling and Multi-critical Matter Coupled to Quantum Gravity
2000, B473,  Phys.Lett., Angelantonj & Blumenhagen,  Discrete Deformations in Type I Vacua
2000, D61,  Phys.Rev., Lubo,  Quantum Minimal Length and Transplanckian Photons
2000, B583,  Nucl.Phys., Delfino,  Correlators in integrable quantum field theory. The scaling RSOS models
2000, D62,  Phys.Rev., Myung & Kang & Lee,  Greybody factor for D3-branes in B field
2000, B477,  Phys.Lett., Chamseddine & Sabra,  Magnetic Strings In Five Dimensional Gauged Supergravity Theories
2000, B572,  Nucl.Phys., Ahn & Rey,  More CFTs and RG Flows from Deforming M2/M5-Brane Horizon
2000, B476,  Phys.Lett., Suzuki,  Supersymmetric Action of SL(2;Z)-covariant D3-brane and its  Kappa-symmetry
2000, B474,  Phys.Lett., Sheikh-Jabbari,  A Note on T-Duality, Open Strings in B-field Background and Canonical  Transformations
1999, A14,  Mod.Phys.Lett., Meljanac & Milekovic & Ristic,  On Infinite Quon Statistics and "Ambiguous" Statistics
2000, B473,  Phys.Lett., Lugo & Moreno & Schaposnik,  Monopole Solutions in AdS Space
2000, D62,  Phys.Rev., Bozhilov,  Null Branes in String Theory Backgrounds
2000, B575,  Nucl.Phys., Heinrich & Leibbrandt,  Split dimensional regularization for the Coulomb gauge at two loops
1999, A14,  Mod.Phys.Lett., Masuda & Saito,  Supersymmetric extension of Moyal algebra and its application to the  matrix model
2000, A33,  J.Phys., Quella,  Matrix difference equations for the supersymmetric Lie algebra sl(2,1)  and the `off-shell' Bethe ansatz
2000, B579,  Nucl.Phys., Caselle & Hasenbusch,  Critical amplitudes and mass spectrum of the 2D Ising model in a  magnetic field
2000, B474,  Phys.Lett., Dabrowski,  Kasner Asymptotics of Horava-Witten Cosmology
2000, B576,  Nucl.Phys., Youm,  Solitons in Brane Worlds
2000, D62,  Phys.Rev., Buchbinder & Kuzenko & Tseytlin,  On Low-Energy Effective Actions in N = 2, 4 Superconformal Theories in  Four Dimensions
2000, B589,  Nucl.Phys., D'Hoker & Mathur & Matusis & Rastelli,  The Operator Product Expansion of N=4 SYM and the 4-point Functions of  Supergravity
2000, D61,  Phys.Rev., Niegawa & Okano & Ozaki,  Reaction-rate formula in out of equilibrium quantum field theory
2001, A16,  Mod.Phys.Lett., Anishetty & Parthasarathy,  Spontaneous Time Asymmetry due to Horizon
2000, B574,  Nucl.Phys., Kawamoto & Sato & Uchida,  4-dimensional BF Gravity on the Lattice
2000, B575,  Nucl.Phys., Huiszoon & Schellekens & Sousa,  Open Descendants of Non-Diagonal Invariants
2000, A33,  J.Phys., Nepomechie,  Nonstandard coproducts and the Izergin-Korepin open spin chain
2000, D62,  Phys.Rev., Haney & Hiller & Lunin & Pinsky & Trittmann,  The Mass Spectrum of N=1 SYM(2+1) at Strong Coupling
2000, A15,  Mod.Phys.Lett., Harikumar & Sivakumar,  On the equivalence between topologically and non-topologically massive  abelian gauge theories
2000, B477,  Phys.Lett., Terashima,  Instantons in the U(1) Born-Infeld Theory and Noncommutative Gauge  Theory
2000, B474,  Phys.Lett., Tseytlin & Zarembo,  Magnetic Interactions of D-branes and Wess-Zumino Terms in Super  Yang-Mills Effective Actions
2000, D62,  Phys.Rev., Hadasz & Lambiase & Nesterenko,  Casimir energy of a non-uniform string
2000, B576,  Nucl.Phys., Billo' & D'Adda & Provero,  Matrix strings from generalized Yang-Mills theory on arbitrary Riemann  surfaces
2000, B577,  Nucl.Phys., Kar,  Non-commutativity, Zero modes and D-brane Geometry
2000, A15,  Mod.Phys.Lett., Kogan & Wheater,  What does E_8 know about 11 dimensions ?
2000, A268,  Phys.Lett., Lunardi & Pimentel & Teixeira & Valverde,  Remarks on Duffin-Kemmer-Petiau theory and gauge invariance
2001, B15,  Int.J.Mod.Phys., Goryo,  Vortex in Chiral Superconducting State
2000, B62,  Phys.Rev., Li & Eckern,  Theory of electrons with orbital degeneracy
2000, A33,  J.Phys., Renan & Pacheco & Almeida,  Treating some solid state problems with the Dirac equation
2000, B62,  Phys.Rev., Burgess & Dib & Dolan,  Derivation of the Semi-circle Law from the Law of Corresponding States
2000, B471,  Phys.Lett., Nelson & Torino & Italy & Tecnico & Lisboa & Portugal),  Quantum Holonomies in (2+1)-Dimensional Gravity
2000, D62,  Phys.Rev., Baker & Brandt & Campanelli & Lousto & Seidel & Takahashi,  Nonlinear and Perturbative Evolution of Distorted Black Holes. II.  Odd-parity Modes
2000, D61,  Phys.Rev., Winitzki & Vilenkin,  Effective noise in stochastic description of inflation
2000, B477,  Phys.Lett., Ng & Dam,  On Wigner's clock and the detectability of spacetime foam with  gravitational-wave interferometers
2000, A15,  Int.J.Mod.Phys., Alimohammadi & shariati,  Quantum reflection of massless neutrinos from a torsion-induced  potential
2000, L39,  Class.Quant.Grav., Lidsey,  Separable Brane Cosmologies in Heterotic M-Theory
2000, D62,  Phys.Rev., Dzhunushaliev & Schmidt,  Wormholes and Flux Tubes in the 7D Gravity on the Principal Bundle with  SU(2) Gauge Group as the Extra Dimensions
2000, D61,  Phys.Rev., Terashima,  Entanglement entropy of the black hole horizon
2000, D61,  Phys.Rev., Wald & Zoupas,  A General Definition of "Conserved Quantities" in General Relativity and  Other Theories of Gravity
2001, D63,  Phys.Rev., Kao & Pen & Zhang,  Friedmann Equation and Stability of Inflationary Higher Derivative  Gravity
2000, B472,  Phys.Lett., Neronov,  Cosmological models with one extra dimension
2000, D62,  Phys.Rev., Bock & Golterman & Leung & Shamir,  The Phase Diagram and Spectrum of Gauge-Fixed Abelian Lattice Gauge  Theory
2000, B474,  Phys.Lett., Faber & Greensite & Olejnik,  First Evidence for Center Dominance in SU(3) Lattice Gauge Theory
2001, D64,  Phys.Rev., Basak & De,  Chiral Gauge Theory on Lattice with Domain Wall Fermions
2000, B488,  Phys.Lett., Lyth,  The gravitino abundance in supersymmetric `new' inflation models
2000, B473,  Phys.Lett., Davoudiasl & Hewett & Rizzo,  Bulk Gauge Fields in the Randall-Sundrum Model
2000, B486,  Phys.Lett., Pomarol,  Gauge bosons in a five-dimensional theory with localized gravity
2001, D64,  Phys.Rev., Page,  (Field) Symmetrization Selection Rules
2000, D62,  Phys.Rev., Csaki & Graesser & Randall & Terning,  Cosmology of Brane Models with Radion Stabilization
2000, B486,  Phys.Lett., de Alwis & Irges,  Gauge mediated supersymmetry breaking and supergravity
2000, A15,  Int.J.Mod.Phys., Magradze,  Analytic Approach to Perturbative QCD
2000, D61,  Phys.Rev., Aarts & Nauta & Weert,  Divergences in Real-Time Classical Field Theories at Non-Zero  Temperature
2000, B472,  Phys.Lett., Perez & Kovacs & Baal,  Comments on the Instanton Size Distribution
2000, D61,  Phys.Rev., Defu & Carrington & Kobes & Heinz,  Four-Point Spectral Functions and Ward Identities in Hot QED
1999, A32,  J.Phys., Rodriguez-Romo,  Dipper-Donkin algebra as global symmetry of quantum chains
2000, B577,  Nucl.Phys., Delduc & Sorin,  A note on real forms of the complex N=4 supersymmetric Toda chain  hierarchy in real N=2 and N=4 superspaces
2001, D63,  Phys.Rev., Gubser,  AdS/CFT and gravity
2000, B576,  Nucl.Phys., Orland & Semenoff,  Extremal Curves in 2+1-Dimensional Yang-Mills Theory
2000, B481,  Phys.Lett., Slater,  One-instanton test of the exact prepotential for N=2 SQCD coupled to a  symmetric tensor hypermultiplet
2000, D62,  Phys.Rev., Cai & Ohta,  Surface counterterms and boundary stress-energy tensors for  asymptotically non-anti-de Sitter spaces
2000, D61,  Phys.Rev., Bazeia & Brito,  Bags, junctions, and networks of BPS and non-BPS defects
2000, B474,  Phys.Lett., Junemann & Lechtenfeld,  Ward identities and the vanishing theorem for loop amplitudes of the  closed N=2 string
2000, B486,  Phys.Lett., Bering,  Family of Boundary Poisson Brackets
2000, A15,  Mod.Phys.Lett., Joglekar & Physics & Technology & Kanpur & UP & Physics & Marg & Bhubaneswar & Orissa & India),  Wilson Loop and the Treatment of Axial Gauge Poles
2001, C18,  Eur.Phys.J., Hernandez,  Calibrated Geometries and Non Perturbative Superpotentials in M-Theory
2000, D62,  Phys.Rev., Brihaye & Grard & Hoorelbeke,  Gravitating dyons and the Lue-Weinberg bifurcation
2000, D61,  Phys.Rev., Cavaglia & Ungarelli,  Quantum gravity corrections to the Schwarzschild mass
2000, B572,  Nucl.Phys., Gunaydin & Zagermann,  The Gauging of Five-dimensional, N=2 Maxwell-Einstein Supergravity  Theories coupled to Tensor Multiplets
2000, B485,  Phys.Lett., Frampton & Kephart,  Chiral Fermions and AdS/CFT Duality for a Nonabelian Orbifold
2000, B477,  Phys.Lett., Sato,  A 10-form Gauge Potential and an M-9-brane Wess-Zumino Action in Massive  11D Theory
2000, B475,  Phys.Lett., Brevik & Odintsov,  Quantum Annihilation of Anti- de Sitter Universe
2000, B585,  Nucl.Phys., Benaoum,  Perturbative BF-Yang-Mills theory on noncommutative R^4
2000, B478,  Phys.Lett., Lee,  Noncommutative Dirac-Born-Infeld Action for D-brane
2001, D63,  Phys.Rev., Kapustin,  On The Universality Class Of Little String Theories
2000, D62,  Phys.Rev., Aros & Contreras & Olea & Troncoso & Zanelli,  Conserved Charges for Even Dimensional Asymptotically AdS Gravity  Theories
2000, A15,  Int.J.Mod.Phys., Henneaux & Knaepen,  A Theorem on First-Order Interaction Vertices for Free p-Form Gauge  Fields
2000, D62,  Phys.Rev., Tchrakian & Zimmerschied,  't Hooft tensors as Kalb-Ramond fields of generalised monopoles in all
2000, B474,  Phys.Lett., Pakman,  Schwarz-Sen duality made fully local
2000, B478,  Phys.Lett., Gremm,  Four-dimensional gravity on a thick domain wall
2000, D61,  Phys.Rev., Zloshchastiev,  Field-to-particle transition based on the zero-brane approach to  quantization of multiscalar field theories and its application for  Jackiw-Teitelboim gravity
2000, B476,  Phys.Lett., Lust & Miemiec,  Supersymmetric M5-branes with H-field
2000, D62,  Phys.Rev., Miao & Mueller-Kirsten,  Self-Duality of Various Chiral Boson Actions
2000, A268,  Phys.Lett., Brzezinski & Gonera & Kosinski & Maslanka,  A note on the action-angle variables for the rational Calogero-Moser  system
2000, B476,  Phys.Lett., Andreev & Dorn,  On Open String Sigma-Model and Noncommutative Gauge Fields
2000, B583,  Nucl.Phys., Froehlich & Grandjean & Recknagel & Schomerus,  Fundamental strings in Dp-Dq brane systems
2000, B476,  Phys.Lett., Altendorfer,  Partial Supersymmetry Breaking from Five Dimensions
2000, B476,  Phys.Lett., Binosi & Veldhuis,  Domain wall junctions in a generalized Wess-Zumino model
2000, D61,  Phys.Rev., Gauntlett & Kim & Park & Yi,  Monopole Dynamics and BPS Dyons N=2 Super-Yang-Mills Theories
2000, D62,  Phys.Rev., Bak & Lee & Yi,  Complete Supersymmetric Quantum Mechanics of Magnetic Monopoles in N=4  SYM Theory
2000, A15,  Int.J.Mod.Phys., Evslin & Halpern & Wang,  Cyclic Coset Orbifolds
2000, D62,  Phys.Rev., Harindranath & Martinovic & Vary,  Compactification near and on the light front
2000, B567,  Nucl.Phys., Nardelli & Peloso,  Zero Modes and Conformal Anomaly in Liouville Vortices
2000, B475,  Phys.Lett., Mironov & Morozov,  Commuting Hamiltonians from Seiberg-Witten Theta-Functions
2000, B476,  Phys.Lett., Russo & Scrucca,  On the effective action of stable non-BPS branes
2000, B478,  Phys.Lett., Bimonte & Marmo & Stern,  Bicovariant Calculus in Quantum Theory and a Generalization of the Gauss  Law
2000, B478,  Phys.Lett., Hayakawa,  Perturbative analysis on infrared aspects of noncommutative QED on R^4
2000, B484,  Phys.Lett., Polyakov & Sheikh-Jabbari,  Closed String Brane-Like States, Brane Bound States and Noncommutative  Branes
2000, D61,  Phys.Rev., Parsons,  T-Duality and Conformal Invariance at Two Loops
2000, B579,  Nucl.Phys., Niedermaier & Samtleben,  An Algebraic Bootstrap for Dimensionally Reduced Quantum Gravity
2000, A15,  Mod.Phys.Lett., Bratchikov,  Generalized abelian coset conformal field theories
2000, D62,  Phys.Rev., Garriga & Sasaki,  Brane-world creation and black holes
2001, B505,  Phys.Lett., Galloway & Schleich & Witt & Woolgar,  The AdS/CFT Correspondence Conjecture and Topological Censorship
2000, B478,  Phys.Lett., Berkovits & Echevarria,  Four-Point Amplitude from Open Superstring Field Theory
2000, B577,  Nucl.Phys., Ooguri & Vafa,  Knot Invariants and Topological Strings
2000, B476,  Phys.Lett., Marshakov,  Duality in Integrable Systems and Generating Functions for New  Hamiltonians
2000, B474,  Phys.Lett., Kaloper,  Crystal Manyfold Universes in AdS Space
